"title","body","rating","review_date","source","curated","reviewer_name","reviewer_email","product_id","product_handle","reply","reply_date","picture_urls","ip_address","location","metaobject_handle"
"","Super cool","5","2026-02-21 00:00:00 UTC","aliexpress","ok","Vella Deckow","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A0d81e236c78b486f92eb46583eed69241.jpg","","","review-aa48e8ea-a60f-441e-983d-251c4a598146"
"","👌","5","2026-01-20 00:00:00 UTC","aliexpress","ok","Kellye Mayert","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A494c5393b6584035b17bdb10c7037b4dr.jpg","","","review-8388018f-be99-4613-b59d-d27e94d3665d"
"","The product is nice, but you can only order 1 and the delivery takes almost 2 months.","5","2026-01-12 00:00:00 UTC","aliexpress","ok","Rico Labadie","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A93afec4ee1b54b88bb5d3ea6a20aa9f5Z.jpg","","","review-07e5c759-af84-4548-88ad-a67036003482"
"","Ok","5","2026-04-07 00:00:00 UTC","aliexpress","ok","Amie Brakus","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A162a82e891684344aa4e061dae147826Q.jpg, https://ae-pic-a1.aliexpress-media.com/kf/A70f1898abe1e49b3b4d04cdefcb8f8b4I.jpg, https://ae-pic-a1.aliexpress-media.com/kf/A5f2a00b9b5454e0c917c6597596bec58K.jpg","","","review-6428a7e0-709b-4b81-9b63-2cbb46243717"
"","It hasn't even been a day since I got the keychain, and one of the keycaps has already fallen off haha.","3","2026-02-26 00:00:00 UTC","aliexpress","ok","Tisa Roberts","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/Sdfd530e2bd424188b368543bf8c1256am.jpg","","","review-19a4ba1e-ac21-4841-bb1a-1016096fd014"
"","That light bulb doesn't turn on, and it arrived without a keycap.","2","2026-02-06 00:00:00 UTC","aliexpress","ok","Valeri Metz","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A27f35f3c13ef445cb378a0e8f4b582a7f.jpg","","","review-e7a6971b-7013-4a5c-b49b-34f95a63421f"
"","Kypolight™","5","2026-02-28 00:00:00 UTC","aliexpress","ok","Leon Stark","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A9a7faaa62b784fd5b0f5c0113798ad68O.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Ad312d3b004924829a5fd0a06124621917.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Aceea0feaead34a12bc6f44923f99e65cP.jpg","","","review-9626e359-7421-414a-ab8d-488231cdc8e0"
"","Everything is fine, I recommend it.","5","2026-05-14 00:00:00 UTC","aliexpress","ok","Carol Schoen","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A06be3c8efcf241cc99081e0d39c6f4cfz.jpg, https://ae-pic-a1.aliexpress-media.com/kf/A318e76ae961341eeb060b5c891568576h.jpg, https://ae-pic-a1.aliexpress-media.com/kf/A5ee9d3b7ada7495baa90301ad54e3420r.jpg, https://ae-pic-a1.aliexpress-media.com/kf/A640b909f1b7c49739605c96077ae30b2E.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Ad827a8c03af74f588bf79040ffeeaa61N.jpg","","","review-363c29bd-7949-4b83-9fb1-978eb998a8e0"
"","Kypolight™","5","2026-01-31 00:00:00 UTC","aliexpress","ok","Yanira Wisoky","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/Af74194786e6546d88f7ad3b147c33d13D.jpg, https://ae-pic-a1.aliexpress-media.com/kf/A69ab6019246d4d3bb4399c19a53be02bh.jpg","","","review-2d9c660f-e863-42f5-a57d-a4a4629ad056"
"","It arrived without batteries; if you are going to ""give it away,"" make sure it is in good condition.","1","2026-02-07 00:00:00 UTC","aliexpress","ok","Doug Kassulke","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A11f4e44d84de4066b1907e6b765f6b6cw.jpg","","","review-274218f0-c89c-4cc0-b2b4-5da5dabe4af6"
"","Kypolight™","5","2026-02-01 00:00:00 UTC","aliexpress","ok","Rochel Brakus","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A606905ac39b74ca2a9c0691402565547g.jpg, https://ae-pic-a1.aliexpress-media.com/kf/A3ec309a67ecb4e35826d8351151b83396.jpg","","","review-13e898ff-c8fe-40f1-8520-7e59d4b079fb"
"","Kypolight™","5","2026-02-04 00:00:00 UTC","aliexpress","ok","Reed Purdy","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A4fb092827021424f9b98194a9bc42e3eY.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Af601320510a04ac1b56886e577a8b3edb.jpg","","","review-75f7fb51-55fd-4936-8581-90f35c146e63"
"","The product was packaged poorly and arrived broken; it doesn't work. I am requesting a refund.","1","2026-01-14 00:00:00 UTC","aliexpress","ok","Penny Berge","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A03f8d7549f00415ea35f79d9655cf60cM.jpg, https://ae-pic-a1.aliexpress-media.com/kf/Af894a5257a4d4483ab409b6e1e9991dbX.jpg","","","review-ce8825eb-d475-4ffc-adf0-23c2168eabf4"
"","Damaged","1","2026-02-26 00:00:00 UTC","aliexpress","ok","Kraig Pacocha","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A387a08fc3a264ad4b8b039520e4e2f1eO.jpg","","","review-41a73775-9f69-4536-9d72-cde6b02c4622"
"","Damaged","1","2026-02-26 00:00:00 UTC","aliexpress","ok","Aldo Jerde","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A387a08fc3a264ad4b8b039520e4e2f1eO.jpg","","","review-07996169-4e58-4573-83cf-bfa7754e126b"
"","The button is not working","1","2026-05-17 00:00:00 UTC","aliexpress","ok","Myles Schuster","support+anonymous@judge.me","7238298435648","kypolight™","","","https://ae-pic-a1.aliexpress-media.com/kf/A3ef941c331b048f1b6815696eb3d85147.jpg, https://ae-pic-a1.aliexpress-media.com/kf/A3ef941c331b048f1b6815696eb3d85147.jpg","","","review-72c8c3db-3e86-450b-b9e2-1878cd5a6691"
